REGION,BRANCH,FULL_BRANCH
I,805,0805
I,806,0806
I,807,0807
I,808,0808
Q,809,0809
I,810,0810
I,811,0811
Q,812,0812
I,813,0813
E,814,0814
M,815,0815
I,816,0816
Q,817,0817
Q,818,0818
Q,819,0819
Q,820,0820
Q,821,0821
Q,822,0822
Q,823,0823
Q,824,0824
Q,825,0825
Q,826,0826
Q,827,0827
Q,828,0828
Q,829,0829
Q,830,0830
Q,831,0831
Q,832,0832
Q,833,0833
I,834,0834
E,835,0835
E,836,0836
I,837,0837
Q,838,0838
I,839,0839
Q,840,0840
I,841,0841
I,842,0842
I,843,0843
I,844,0844
I,845,0845
I,847,0847
I,848,0848
I,849,0849
U,850,0850
U,851,0851
V,852,0852
Q,853,0853
R,854,0854
X,855,0855
O,856,0856
U,857,0857
U,858,0858
U,859,0859
U,860,0860
I,861,0861
I,862,0862
Q,863,0863
I,864,0864
I,865,0865
Q,866,0866
I,867,0867
I,868,0868
E,869,0869
F,871,0871
R,872,0872
K,873,0873
K,874,0874
K,875,0875
K,876,0876
K,877,0877
K,878,0878
K,879,0879
K,880,0880
K,881,0881
K,882,0882
K,883,0883
F,884,0884
F,885,0885
F,886,0886
F,887,0887
V,888,0888
F,889,0889
F,890,0890
H,891,0891
H,892,0892
F,893,0893
F,894,0894
F,895,0895
F,896,0896
G,897,0897
G,898,0898
G,899,0899
G,900,0900
G,901,0901
H,902,0902
H,903,0903
H,904,0904
H,905,0905
I,906,0906
E,907,0907
I,908,0908
I,909,0909
I,910,0910
I,911,0911
I,912,0912
I,913,0913
I,914,0914
Q,915,0915
Q,916,0916
Q,917,0917
Q,918,0918
Q,919,0919
Q,920,0920
Q,921,0921
I,922,0922
I,923,0923
Q,924,0924
I,925,0925
Q,926,0926
E,927,0927
E,928,0928
E,929,0929
E,930,0930
I,931,0931
I,932,0932
E,933,0933
E,934,0934
I,935,0935
I,936,0936
I,937,0937
I,938,0938
E,939,0939
E,940,0940
E,941,0941
E,942,0942
E,943,0943
E,944,0944
I,945,0945
I,946,0946
I,947,0947
I,948,0948
I,949,0949
I,951,0951
Q,952,0952
I,953,0953
Q,954,0954
E,955,0955
Q,956,0956
Q,957,0957
Q,958,0958
Q,959,0959
Q,962,0962
Q,963,0963
E,964,0964
E,965,0965
E,966,0966
E,967,0967
E,968,0968
E,969,0969
M,970,0970
M,971,0971
M,972,0972
K,973,0973
K,974,0974
K,975,0975
K,976,0976
K,977,0977
G,978,0978
G,979,0979
G,980,0980
G,981,0981
G,982,0982
H,983,0983
M,984,0984
M,985,0985
H,986,0986
H,987,0987
F,988,0988
F,989,0989
F,990,0990
F,991,0991
F,992,0992
I,993,0993
Q,994,0994
I,995,0995
Q,996,0996
E,997,0997
Q,998,0998
D,1001,1001
G,1006,1006
G,1007,1007
H,1008,1008
K,1050,1050
K,1051,1051
A,1052,1052
L,1053,1053
N,1054,1054
H,1055,1055
H,1056,1056
N,1057,1057
G,1058,1058
P,1059,1059
L,1060,1060
G,1061,1061
M,1062,1062
H,1063,1063
H,1064,1064
H,1065,1065
M,1066,1066
M,1067,1067
M,1068,1068
A,1069,1069
F,1070,1070
F,1071,1071
J,1072,1072
P,1073,1073
P,1074,1074
G,1075,1075
N,1076,1076
F,1077,1077
F,1078,1078
X,1079,1079
O,1080,1080
O,1081,1081
O,1082,1082
B,1083,1083
B,1084,1084
B,1085,1085
B,1086,1086
B,1087,1087
B,1088,1088
B,1089,1089
B,1090,1090
B,1091,1091
B,1092,1092
B,1093,1093
B,1094,1094
B,1095,1095
B,1096,1096
B,1097,1097
X,1098,1098
X,1099,1099
D,1100,1100
J,1101,1101
D,1102,1102
D,1103,1103
D,1104,1104
I,1105,1105
Q,1106,1106
F,1107,1107
F,1108,1108
G,1109,1109
G,1110,1110
H,1111,1111
M,1112,1112
L,1113,1113
N,1114,1114
E,1115,1115
Q,1116,1116
E,1117,1117
Q,1118,1118
Q,1119,1119
Q,1120,1120
E,1121,1121
Q,1122,1122
E,1123,1123
I,1124,1124
E,1125,1125
Q,1127,1127
Q,1128,1128
Q,1129,1129
I,1130,1130
I,1131,1131
Q,1132,1132
I,1133,1133
I,1134,1134
L,1136,1136
K,1137,1137
G,1138,1138
F,1139,1139
F,1140,1140
F,1141,1141
L,1142,1142
Q,1143,1143
Q,1144,1144
Q,1145,1145
I,1146,1146
I,1147,1147
E,1148,1148
I,1149,1149
I,1150,1150
I,1151,1151
I,1152,1152
I,1153,1153
B,1154,1154
K,1155,1155
K,1156,1156
K,1157,1157
K,1158,1158
K,1159,1159
K,1160,1160
R,1161,1161
Q,1162,1162
I,1163,1163
Q,1164,1164
I,1165,1165
Q,1166,1166
I,1167,1167
Q,1168,1168
E,1169,1169
I,1170,1170
E,1171,1171
Q,1172,1172
Q,1173,1173
R,1174,1174
R,1175,1175
E,1176,1176
Q,1177,1177
Q,1178,1178
E,1179,1179
I,1180,1180
I,1181,1181
I,1182,1182
E,1183,1183
Q,1184,1184
Q,1185,1185
I,1186,1186
E,1187,1187
E,1188,1188
I,1189,1189
X,1190,1190
E,1191,1191
E,1192,1192
E,1193,1193
E,1194,1194
E,1195,1195
E,1196,1196
K,1197,1197
K,1198,1198
K,1199,1199
E,1200,1200
E,1201,1201
Q,1202,1202
E,1203,1203
Q,1204,1204
E,1205,1205
E,1206,1206
E,1207,1207
E,1208,1208
E,1209,1209
Q,1210,1210
I,1211,1211
E,1212,1212
E,1213,1213
E,1214,1214
E,1215,1215
E,1216,1216
E,1218,1218
E,1219,1219
I,1220,1220
I,1221,1221
