KODE KANWIL,NAMA KANWIL,KODE CABANG,NAMA CABANG,KODE UKER,NAMA UKER,TIPE KANTOR,KODE POS,KECAMATAN,DATI II,Koreksi DATI II,DATI I,ALAMAT,TELEFON
L,Banjarmasin                             ,306,KC Tanjung Selor                        ,4588,UNIT SENGKAWIT TANJUNG SELOR            ,UNIT,77212,TANJUNGPALAS,Kab. Bulungan (Bulongan),Kab. Bulungan,Kalimantan Utara,Jl. Sengkawit Rt. Xxiii, 0552-21557
L,Banjarmasin                             ,306,KC Tanjung Selor                        ,4589,UNIT TANJUNG PALAS TANJUNG SEL          ,UNIT,77251,TANJUNG PALAS,Kab. Bulungan (Bulongan),Kab. Bulungan,Kalimantan Utara,Jl. Kasimuddin Rt.Iv, 0552-2025195
L,Banjarmasin                             ,306,KC Tanjung Selor                        ,7337,UNIT PANCA AGUNG TANJUNG SELOR          ,UNIT,77253,Tanjung Palas Utara ,Kab. Bulungan (Bulongan),Kab. Bulungan,Kalimantan Utara,Jl. Am. Ardan Rt.1 Tanjung Palas Utara,085247635189
D,Palembang                               ,160,KC Muara Bungo                          ,8153,UNIT RANTAU PANDAN MUARA BUNGO          ,UNIT,37261,RANTAU PANDAN,Kab. Bungo,Kab. Bungo,Jambi,Jl. Ds Rantau Pandan,-
D,Palembang                               ,160,KC Muara Bungo                          ,8152,UNIT SAWMIL MUARA BUNGO                 ,UNIT,37263,TANAH SEPENGGAL,Kab. Bungo,Kab. Bungo,Jambi,Ds Embacang Gedang,-
D,Palembang                               ,160,KC Muara Bungo                          ,8151,UNIT KM EMPAT EMPAT MUARA BUNG          ,UNIT,37257,JUJUHAN,Kab. Bungo,Kab. Bungo,Jambi,Ds Jujuhan Rantau Ikil,-
D,Palembang                               ,160,KC Muara Bungo                          ,5724,UNIT MUARA BUNGO                        ,UNIT,37212,MUARABUNGO,Kab. Bungo,Kab. Bungo,Jambi,Jln. Lintas Muara Bungo , 0747-21216
D,Palembang                               ,160,KC Muara Bungo                          ,7771,UNIT LINGGA KUAMANG MUARA BUNG          ,UNIT,37252,PELEPAT ILIR,Kab. Bungo,Kab. Bungo,Jambi,Desa Lingga Kuamang Kel. Lingga Kuamang,085273517308
D,Palembang                               ,160,KC Muara Bungo                          ,7047,UNIT MUARA BUNGO II MUARA BUNG          ,UNIT,37253,Pelepat,Kab. Bungo,Kab. Bungo,Jambi,Jl.Wijaya Kesuma Ix Rt03/02 No.71,08287488646
D,Palembang                               ,160,KC Muara Bungo                          ,5723,UNIT KUAMANG KUNING MUARA BUNG          ,UNIT,37252,Kuamang Kuning,Kab. Bungo,Kab. Bungo,Jambi,JL. BATANG HARI RT35/RW07 PURWOSARI (PASAR SPA), 0747-7326133
N,Manado                                  ,279,KC Limboto                              ,8034,UNIT TOLINGGULA LIMBOTO                 ,UNIT,96524,TOLINGGULA,Kab. Buol,Kab. Buol,Sulawesi Tengah,Jl. Trans Sulawesi,081340407444
N,Manado                                  ,227,KC Toli-Toli                            ,5232,UNIT SENTRAL BUOL TOLI TOLI             ,UNIT,94563,BIAU,Kab. Buol,Kab. Buol,Sulawesi Tengah,Jalan Karimbou No. 01, 0445-211197
N,Manado                                  ,227,KC Toli-Toli                            ,3637,UNIT BUOL TOLI TOLI                     ,UNIT,94563,BIAU,Kab. Buol,Kab. Buol,Sulawesi Tengah,Jl. Syarif Mansyur, 0445-211074
N,Manado                                  ,227,KC Toli-Toli                            ,7435,UNIT LAKEA TOLI TOLI                    ,UNIT,94563,BIAU,Kab. Buol,Kab. Buol,Sulawesi Tengah,Jl. Trans Sulawesi Desa Lakea (94563),085256003456
N,Manado                                  ,227,KC Toli-Toli                            ,7132,UNIT PALELEH TOLI TOLI                  ,UNIT,94568,PALELEH,Kab. Buol,Kab. Buol,Sulawesi Tengah,Jl. Trans Sulawesi,081340395396
N,Manado                                  ,227,KC Toli-Toli                            ,5231,UNIT DIAPATI TOLI TOLI                  ,UNIT,94567,BUNOBOGU,Kab. Buol,Kab. Buol,Sulawesi Tengah,Desa Bunobogu,08114503034
P,Makassar                                ,1,KC Ambon                                ,4868,UNIT MAKO AMBON                         ,UNIT,97574,Waepo,Kab. Buru,Kab. Buru,Maluku,Jl.Gatot Subroto, 0913-21522
P,Makassar                                ,1,KC Ambon                                ,3374,UNIT NAMLEA AMBON                       ,UNIT,97571,Namlea,Kab. Buru,Kab. Buru,Maluku,Jl. Jend. A. Yani, 0913-21360
P,Makassar                                ,1,KC Ambon                                ,8031,UNIT NAMROLE AMBON                      ,UNIT,97573,NAMROLE,Kab. Buru Selatan,Kab. Buru Selatan,Maluku,Jl.Raya Kilo 1 Labuan, 0911-355276
P,Makassar                                ,326,KC Bau-Bau                              ,4887,UNIT PASAR WAJO BAU BAU                 ,UNIT,93754,PASAR WAJO,Kab. Buton,Kab. Buton,Sulawesi Tenggara,Jl.Protokol,02712155152
P,Makassar                                ,326,KC Bau-Bau                              ,4885,UNIT MAWASANGKA BAU BAU                 ,UNIT,93762,MAWASANGKA,Kab. Buton Tengah,Kab. Buton Tengah,Sulawesi Tenggara,Jl. Mesjid Raya ,0811400882
P,Makassar                                ,217,KC Raha                                 ,5042,UNIT LOMBE RAHA                         ,UNIT,93761,GU,Kab. Buton Tengah,Kab. Buton Tengah,Sulawesi Tenggara,Jl.Jend.Sudirman,085241832700
P,Makassar                                ,326,KC Bau-Bau                              ,7076,UNIT EREKE BAU BAU                      ,UNIT,93672,KALISUSU,Kab. Buton Utara,Kab. Buton Utara,Sulawesi Tenggara,Jl. Laode Gure No.13,081341697577
F,Bandung                                 ,162,KC Banjar                               ,4083,UNIT SUKASARI BANJAR                    ,UNIT,46383,BANJARSARI,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Ry Banjar Banjarsari No.17, 0265-650544
F,Bandung                                 ,162,KC Banjar                               ,4006,UNIT CIMARAGAS BANJAR                   ,UNIT,46381,CIMARAGAS,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Raya Cimaragas No 164 Desa Cimaragas, 0265-743390
F,Bandung                                 ,162,KC Banjar                               ,4009,UNIT PAMARICAN BANJAR                   ,UNIT,46382,PAMARICAN,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Raya Pamarican No. 555 Pamarican, 0265-742393
F,Bandung                                 ,162,KC Banjar                               ,4020,UNIT CISAGA BANJAR                      ,UNIT,46386,CISAGA,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Rancah No. 17 Cisaga, 0265-742235
F,Bandung                                 ,162,KC Banjar                               ,4024,UNIT KERTAHAYU BANJAR                   ,UNIT,46382,PAMARICAN,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Raya Pangandaran Km 112 Desa Kertahayu, 0265-652851
F,Bandung                                 ,162,KC Banjar                               ,4034,UNIT SINDANGHAYU BANJAR                 ,UNIT,46383,BANJARSARI,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Raya Lakbok Dusun/Desa Sindanghayu, 0265-650983
F,Bandung                                 ,162,KC Banjar                               ,4025,UNIT LAKBOK BANJAR                      ,UNIT,46385,LAKBOK,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jln. Raya Lakbok No. 578 Lakbok, 0265-650308
F,Bandung                                 ,162,KC Banjar                               ,3153,UNIT BANJARSARI BANJAR                  ,UNIT,46383,BANJARSARI,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jln Raya Pangandaran No 115 Banjarsari, 0265-650056
F,Bandung                                 ,162,KC Banjar                               ,4013,UNIT CICAPAR BANJAR                     ,UNIT,46383,BANJARSARI,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl.Raya Pangandaran Dusun Mekarsari, 0265-650030
F,Bandung                                 ,162,KC Banjar                               ,4030,UNIT PANANJUNG BANJAR                   ,UNIT,46396,PANGANDARAN,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Kidang Pananjung No. 212 Pangandaran, 0265-639288
F,Bandung                                 ,162,KC Banjar                               ,4004,UNIT BOJONG BANJAR                      ,UNIT,46393,PARIGI,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Raya Cijulang No. 297 Desa Cibenda, 0265-630115
F,Bandung                                 ,162,KC Banjar                               ,4018,UNIT CINTAHARJA BANJAR                  ,UNIT,46385,LAKBOK,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Dusun Cikawung Rt 31 Rw 08 Desa Cintaratu, 0265-2730087
F,Bandung                                 ,162,KC Banjar                               ,4010,UNIT TUNGGILIS BANJAR                   ,UNIT,46397,KALIPUCANG,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl.Ry Pangandaran No.60 Dsn Cintamaju Rt 3/1, 0265-2640837
F,Bandung                                 ,162,KC Banjar                               ,7433,UNIT KARANG KAMIRI BANJAR               ,UNIT,46391,LANGKAPLANCAR,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl.Karangakamiri No.57,085223934570
F,Bandung                                 ,162,KC Banjar                               ,4007,UNIT CIPARANTI BANJAR                   ,UNIT,46395,CIMERAK,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Ciparanti No.214 Dusun Ciparanti Rt.02/01,081809336088
F,Bandung                                 ,162,KC Banjar                               ,4052,UNIT CISONTROL BANJAR                   ,UNIT,46387,RANCAH,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Usin Sudirman No. 64 Rancah,0265-740106
F,Bandung                                 ,104,KC Ciamis                               ,4037,UNIT BUNISEURI CIAMIS                   ,UNIT,46252,CIPAKU,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Blok Samodja Jl.Raya Buniseuri Desa Buniseuri, 0265-791907
F,Bandung                                 ,104,KC Ciamis                               ,3263,UNIT KAWALI CIAMIS                      ,UNIT,46253,KAWALI,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Blok Kaum Desa Kawalimukti, 0265-791314
F,Bandung                                 ,104,KC Ciamis                               ,4038,UNIT CIAMIS KOTA CIAMIS                 ,UNIT,46211,CIAMIS,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jalan Tentara Pelajar No.35, 0265-776943
F,Bandung                                 ,104,KC Ciamis                               ,4054,UNIT JATINAGARA CIAMIS                  ,UNIT,46273,JATINAGARA,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jalan Raya Rajadesa Rt.21/05 Ds. Jatinagara, 0265-2796574
F,Bandung                                 ,104,KC Ciamis                               ,4051,UNIT CINYASAG CIAMIS                    ,UNIT,46255,PANAWANGAN,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya CiamisCirebon No. 228 Cinyasag,081320554730
F,Bandung                                 ,104,KC Ciamis                               ,4047,UNIT BANGBAYANG CIAMIS                  ,UNIT,46252,CIPAKU,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Dusun Desa No 292 Bangbayang,02657654550
F,Bandung                                 ,104,KC Ciamis                               ,4061,UNIT SUKAMANTRI CIAMIS                  ,UNIT,46265,SUKAMANTRI PERW KEC,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Sukamantri No. 148 Sukamantri,02657081555
F,Bandung                                 ,104,KC Ciamis                               ,4056,UNIT RAJADESA CIAMIS                    ,UNIT,46254,RAJADESA,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Rajadesa Rancah No. 503 Rajadesa,02652795783
F,Bandung                                 ,104,KC Ciamis                               ,4055,UNIT PANAWANGAN CIAMIS                  ,UNIT,46255,PANAWANGAN,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Panawangan Rt 07 Rw 02,02652795534
F,Bandung                                 ,104,KC Ciamis                               ,4049,UNIT CIILAT CIAMIS                      ,UNIT,46272,SUKADANA,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Ciilat No. 10 Ciilat,02652752126
F,Bandung                                 ,104,KC Ciamis                               ,4046,UNIT AWILUAR CIAMIS                     ,UNIT,46258,LUMBUNG PERW KEC,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Panjalu – Kawali No. 225,0265791360
F,Bandung                                 ,104,KC Ciamis                               ,4059,UNIT SELACAI CIAMIS                     ,UNIT,46252,CIPAKU,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya CiamisCirebon No. 574 Selacai,0265791321
F,Bandung                                 ,104,KC Ciamis                               ,7458,UNIT KARANGMUKTI CIAMIS                 ,UNIT,46253,KAWALI,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Siliwangi No .170 Kawali,0265790262
F,Bandung                                 ,104,KC Ciamis                               ,4058,UNIT SADANANYA CIAMIS                   ,UNIT,46256,SADANANYA,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Sadananya No. 366 Sadananya,0265775684
F,Bandung                                 ,104,KC Ciamis                               ,4050,UNIT CIJANTUNG CIAMIS                   ,UNIT,46271,CIJEUNGJING,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya CiamisBanjar Km. 3 Dewasari,0265774801
F,Bandung                                 ,104,KC Ciamis                               ,4036,UNIT BOJONG CIAMIS                      ,UNIT,46271,CIJEUNGJING,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya CiamisBanjar No. 639 Bojong,0265773643
F,Bandung                                 ,104,KC Ciamis                               ,4040,UNIT CIKONENG CIAMIS                    ,UNIT,46261,CIKONENG,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Cikoneng No. 252 Cikoneng,0265773251
F,Bandung                                 ,104,KC Ciamis                               ,3296,UNIT PASARKOTA CIAMIS                   ,UNIT,46211,CIAMIS,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Letjen Samuji No. 2627 Ruko Ciamis,0265773013
F,Bandung                                 ,104,KC Ciamis                               ,4044,UNIT SUDIRMAN CIAMIS                    ,UNIT,46211,CIAMIS,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Jend Sudirman No. 21 Ciamis,0265771775
F,Bandung                                 ,104,KC Ciamis                               ,4041,UNIT MALEBER CIAMIS                     ,UNIT,46214,CIAMIS,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Re Martadinata No. 92 Ciamis,0265771668
F,Bandung                                 ,104,KC Ciamis                               ,4057,UNIT RANCAH CIAMIS                      ,UNIT,46387,RANCAH,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Pasar Rancah No. 10 Rancah,0265740015
F,Bandung                                 ,104,KC Ciamis                               ,4060,UNIT SINDANGHERANG CIAMIS               ,UNIT,46263,PANUMBANGAN,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Sindangherang No. 654 Sindangherang,0265455804
F,Bandung                                 ,104,KC Ciamis                               ,3452,UNIT PANUMBANGAN CIAMIS                 ,UNIT,46263,PANUMBANGAN,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Panumbangan No.267 Panumbangan,0265455696
F,Bandung                                 ,104,KC Ciamis                               ,4043,UNIT SINDANGKASIH CIAMIS                ,UNIT,46268,SINDANGKASIH PERW KEC,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Komplek Pasar Sindangkasih,0265334392
F,Bandung                                 ,104,KC Ciamis                               ,4053,UNIT IMBANAGARA CIAMIS                  ,UNIT,46219,CIAMIS,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Imbanagara Raya No.461,0265772992
F,Bandung                                 ,104,KC Ciamis                               ,4048,UNIT BAREGBEG CIAMIS                    ,UNIT,46274,BAREGBEG PERW KEC,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Ry R.E Martadinata,0265775007
F,Bandung                                 ,104,KC Ciamis                               ,4045,UNIT SUKAMULYA CIAMIS                   ,UNIT,46262,CIHAURBEUTI,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl. Raya Cihaurbeuti Dusun Desa,0265335933
F,Bandung                                 ,104,KC Ciamis                               ,4042,UNIT PANJALU CIAMIS                     ,UNIT,46264,PANJALU,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Blok Pabuaran,0265450054
F,Bandung                                 ,100,KC Tasikmalaya                          ,4039,UNIT CIHAURBEUTI TASIKMALAYA            ,UNIT,46262,CIHAURBEUTI,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Cihaurbeuti No. 475 Cihaurbeuti,0265420321
F,Bandung                                 ,105,KC Cianjur                              ,8094,UNIT GEKBRONG CIANJUR                   ,UNIT,43261,GEKBRONG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl Raya Cianjur-Sukabumi Km 17,085861406166
F,Bandung                                 ,105,KC Cianjur                              ,4071,UNIT KAWUNGLUWUK CIANJUR                ,UNIT,43254,SUKARESMI,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Hanjawar Pacet 2/5 Sukaresmi, 0263-580705
F,Bandung                                 ,105,KC Cianjur                              ,4066,UNIT CIMACAN CIANJUR                    ,UNIT,43253,PACET,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Raya Cimacan 89 Cipanas, 0263-517875
F,Bandung                                 ,105,KC Cianjur                              ,4064,UNIT CIHERANG CIANJUR                   ,UNIT,43253,PACET,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Komp. Pasar Cigombong, 0263-513576
F,Bandung                                 ,105,KC Cianjur                              ,3453,UNIT CIPANAS CIANJUR                    ,UNIT,43253,PACET,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Pasar Induk Cipanas Lantai Dasar Blok A, 0263-512238
F,Bandung                                 ,105,KC Cianjur                              ,7471,UNIT AGRABINTA CIANJUR                  ,UNIT,43273,AGRABINTA,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Kampung Pasar Waringin Rt 01/01 Desa Wanasari, 0263-501426
F,Bandung                                 ,105,KC Cianjur                              ,4073,UNIT SAGANTEN CIANJUR                   ,UNIT,43272,SINDANGBARANG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Ds.Saganten Kec.Sindang Barang, 0263-365004
F,Bandung                                 ,105,KC Cianjur                              ,4076,UNIT TANGGEUNG CIANJUR                  ,UNIT,43267,TANGGEUNG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Raya Tanggeung, 0263-363142
F,Bandung                                 ,105,KC Cianjur                              ,4070,UNIT KADUPANDAK CIANJUR                 ,UNIT,43268,KADUPANDAK,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Kaum Tengah Rt 02/01, 0263-362811
F,Bandung                                 ,105,KC Cianjur                              ,7732,UNIT CIBINONG CIANJUR                   ,UNIT,43271,CIBINONG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Raya Cibinong Kec. Cibinong, 0263-360019
F,Bandung                                 ,105,KC Cianjur                              ,4084,UNIT CIDADAP CIANJUR                    ,UNIT,43263,CAMPAKA,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Raya Warung Bitung, 0263-341215
F,Bandung                                 ,105,KC Cianjur                              ,4075,UNIT SUKANAGARA CIANJUR                 ,UNIT,43264,SUKANEGARA,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Komp. Pasar Sukanagara, 0263-340134
F,Bandung                                 ,105,KC Cianjur                              ,4077,UNIT CIHAUR CIANJUR                     ,UNIT,43262,CIBEBER,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Raya Cibeber, 0263-334152
F,Bandung                                 ,105,KC Cianjur                              ,4069,UNIT CIRANJANG BARU CIANJUR             ,UNIT,43282,CIRANJANG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Raya Ciranjang No. 205, 0263-323600
F,Bandung                                 ,105,KC Cianjur                              ,4067,UNIT CIPETIR CIANJUR                    ,UNIT,43283,BOJONGPICUNG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Raya Citarum Lama No.19, 0263-322412
F,Bandung                                 ,105,KC Cianjur                              ,4079,UNIT CIRANJANG CIANJUR                  ,UNIT,43282,CIRANJANG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Jati No. 6, 0263-322112
F,Bandung                                 ,105,KC Cianjur                              ,4063,UNIT BOJONGPICUNG CIANJUR               ,UNIT,43283,BOJONGPICUNG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Moch. Ali Ds. Bojongpicung, 0263-322006
F,Bandung                                 ,105,KC Cianjur                              ,4074,UNIT SUKAGALIH CIANJUR                  ,UNIT,43291,CIKALONG KULON,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Aria Wiratudatar, 0263-317048
F,Bandung                                 ,105,KC Cianjur                              ,4068,UNIT KADEMANGAN CIANJUR                 ,UNIT,43292,MANDE,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Aria Wiratanenggala 233, 0263-264293
F,Bandung                                 ,105,KC Cianjur                              ,4062,UNIT BOJONG CIANJUR                     ,UNIT,43281,KARANG TENGAH,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Halteu Maleber, 0263-263768
F,Bandung                                 ,105,KC Cianjur                              ,4065,UNIT CIJEDIL CIANJUR                    ,UNIT,43252,CUGENANG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jalan Raya Cugenang No.34 RT.03 RW.0, 0263-263760
F,Bandung                                 ,105,KC Cianjur                              ,4081,UNIT SAWAHGEDE CIANJUR                  ,UNIT,43212,CIANJUR,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Adi Sucipta No. 3, 0263-263311
F,Bandung                                 ,105,KC Cianjur                              ,4035,UNIT SUKASARI CIANJUR                   ,UNIT,43251,CIANJUR,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Perintis Kemerdekaan, 0263-262831
F,Bandung                                 ,105,KC Cianjur                              ,4082,UNIT SITI JENAB CIANJUR                 ,UNIT,43213,CIANJUR,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Mohamad Ali No 49, 0263-262733
F,Bandung                                 ,105,KC Cianjur                              ,4080,UNIT PAMOYANAN CIANJUR                  ,UNIT,43211,CIANJUR,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl Taifur Yusuf No 45 Rt 01/02, 0263-262134
F,Bandung                                 ,105,KC Cianjur                              ,4078,UNIT CIKAROYA CIANJUR                   ,UNIT,43261,WARUNGKONDANG,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Raya Wr.Kondang No 62, 0263-261729
F,Bandung                                 ,105,KC Cianjur                              ,4072,UNIT MUKA CIANJUR                       ,UNIT,43215,CIANJUR,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Arif Rahman Hakim No. 15, 0263-261294
F,Bandung                                 ,544,KC Soreang                              ,7580,UNIT NARINGGUL SOREANG                  ,UNIT,43274,NARINGGUL,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Raya Naringgul,087820208950
F,Bandung                                 ,544,KC Soreang                              ,4085,UNIT CIDAUN SOREANG                     ,UNIT,43275,CIDAUN,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Raya Kertajadi RT 03/ RW 01 Desa Kertajadi, 0263-366003
F,Bandung                                 ,92,KC Sukabumi                             ,4412,UNIT TAKOKAK SUKABUMI                   ,UNIT,43265,TAKOKAK,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl. Datar Rt 04/01 Cianjur 43265, 0266-480118
H,Yogyakarta                              ,106,KC Cilacap                              ,7449,UNIT KAWUNGATEN TIMUR CILACAP           ,UNIT,53253,KAWUNGANTEN,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Raya Kawunganten, 0282-611600
H,Yogyakarta                              ,106,KC Cilacap                              ,3120,UNIT GUMILIR CILACAP                    ,UNIT,53231,CILACAP UTARA,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Perintis Kemerdekaan No. 80 Gumilir, 0282-541940
H,Yogyakarta                              ,106,KC Cilacap                              ,6672,UNIT ADIPALA TIMUR CILACAP              ,UNIT,53271,ADIPALA,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Srandil No. 336 Adipala, 0282-5264329
H,Yogyakarta                              ,106,KC Cilacap                              ,6673,UNIT BANTARSARI CILACAP                 ,UNIT,53258,BINANGUN,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Raya Rawajaya No. Bantarsari, 0280-523839
H,Yogyakarta                              ,106,KC Cilacap                              ,6681,UNIT SIDASARI CILACAP                   ,UNIT,53273,SAMPANG,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Raya Sampang,08886650497
H,Yogyakarta                              ,106,KC Cilacap                              ,6675,UNIT JEPARA CILACAP                     ,UNIT,53281,BINANGUN,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Diponegoro No. 1 Widarapayung,02825513241
H,Yogyakarta                              ,106,KC Cilacap                              ,6674,UNIT BINANGUN CILACAP                   ,UNIT,53281,BINANGUN,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Raya Binangun No. Cilacap,02825293433
H,Yogyakarta                              ,106,KC Cilacap                              ,6669,UNIT DANASRI CILACAP                    ,UNIT,53283,NUSAWUNGU,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Sukarelawan No. 190 Danasri Nusawungu,02825291606
H,Yogyakarta                              ,106,KC Cilacap                              ,6671,UNIT ADIPALA CILACAP                    ,UNIT,53271,ADIPALA,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Raya Adipala No. 228,02825264235
H,Yogyakarta                              ,106,KC Cilacap                              ,6676,UNIT JERUKLEGI CILACAP                  ,UNIT,53252,JERUKLEGI,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Raya Jeruklegi No. 4,02825073800
H,Yogyakarta                              ,106,KC Cilacap                              ,3119,UNIT SAMPANG CILACAP                    ,UNIT,53273,SAMPANG,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Tugu Barat No.15 Sampang,0282697067
H,Yogyakarta                              ,106,KC Cilacap                              ,3121,UNIT KESUGIHAN CILACAP                  ,UNIT,53274,KESUGIHAN,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Kauman No. Cilacap,0282695109
H,Yogyakarta                              ,106,KC Cilacap                              ,3115,UNIT MAOS CILACAP                       ,UNIT,53272,MAOS,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Raya MaosKarangreja Maos,0282695046
H,Yogyakarta                              ,106,KC Cilacap                              ,3122,UNIT KAWUNG NGANTEN CILACAP             ,UNIT,53253,KAWUNGANTEN,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Raya Kawunganten Sidareja No. 1,0282611800
H,Yogyakarta                              ,106,KC Cilacap                              ,6680,UNIT SALIWANGI CILACAP                  ,UNIT,53233,CILACAP UTARA,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Tentara Pelajar No. 183,0282545953
H,Yogyakarta                              ,106,KC Cilacap                              ,3116,UNIT MENGANTI CILACAP                   ,UNIT,53274,KESUGIHAN,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Soekarno Hatta No. 104,0282542787
H,Yogyakarta                              ,106,KC Cilacap                              ,6682,UNIT TANJUNGSARI CILACAP                ,UNIT,53224,CILACAP TENGAH,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl Gatot Subroto No.74 Rt.01/05 Gunung Simpin,0282533390
H,Yogyakarta                              ,106,KC Cilacap                              ,3118,UNIT CILACAP KOTA                       ,UNIT,53223,CILACAP TENGAH,Kab. Cilacap,Kab. Cilacap,Jawa Tengah,Jl. Brigjen Katamso No. 70,0282533029
